[2026-04-12 10:56:57,149] | [INFO] | [Petición recibida para listar encuestas]
[2026-04-12 10:56:57,149] | [DEBUG] | [Ejecutando query SELECT en surveys]
[2026-04-12 10:56:57,149] | [INFO] | [127.0.0.1 GET /surveys 200 0.6ms]
[2026-04-12 10:56:57,150] | [INFO] | [Petición recibida para ver encuesta 1]
[2026-04-12 10:56:57,150] | [DEBUG] | [Ejecutando query SELECT para encuesta 1]
[2026-04-12 10:56:57,150] | [DEBUG] | [Ejecutando query SELECT preguntas para encuesta 1]
[2026-04-12 10:56:57,150] | [INFO] | [127.0.0.1 GET /surveys/1 200 0.46ms]
[2026-04-12 11:00:19,176] | [INFO] | [Starting Flask API]
[2026-04-12 11:01:13,493] | [DEBUG] | [Consultando DB para el email: abdiel@lol.com]
[2026-04-12 11:01:13,684] | [WARNING] | [Credenciales inválidas de 127.0.0.1]
[2026-04-12 11:01:13,684] | [INFO] | [127.0.0.1 POST /login 401 200.51ms]
[2026-04-12 11:02:27,531] | [DEBUG] | [Consultando DB para el email: abdiel@lol.com]
[2026-04-12 11:02:27,720] | [INFO] | [Login exitoso de: 127.0.0.1]
[2026-04-12 11:02:27,720] | [INFO] | [127.0.0.1 POST /login 201 189.21ms]
[2026-04-12 11:03:15,781] | [INFO] | [Petición recibida para listar encuestas]
[2026-04-12 11:03:15,781] | [DEBUG] | [Ejecutando query SELECT en surveys]
[2026-04-12 11:03:15,781] | [INFO] | [127.0.0.1 GET /surveys 200 0.7ms]
[2026-04-12 11:03:45,768] | [INFO] | [127.0.0.1 POST /surveys/1/questions 401 0.42ms]
[2026-04-12 11:03:58,119] | [INFO] | [Petición recibida para resultados de encuesta 1]
[2026-04-12 11:03:58,119] | [DEBUG] | [Buscando preguntas de encuesta 1]
[2026-04-12 11:03:58,120] | [INFO] | [127.0.0.1 GET /surveys/1/results 200 0.53ms]
[2026-04-12 11:04:55,930] | [INFO] | [Petición recibida para listar encuestas]
[2026-04-12 11:04:55,930] | [DEBUG] | [Ejecutando query SELECT en surveys]
[2026-04-12 11:04:55,931] | [INFO] | [127.0.0.1 GET /surveys 200 0.52ms]
[2026-04-12 11:05:05,829] | [DEBUG] | [Consultando DB para el email: abdiel@lol.com]
[2026-04-12 11:05:06,018] | [WARNING] | [Credenciales inválidas de 127.0.0.1]
[2026-04-12 11:05:06,018] | [INFO] | [127.0.0.1 POST /login 401 189.32ms]
[2026-04-12 11:05:41,360] | [WARNING] | [Error de validacion en preguntas: 1 validation error for QuestionsCreate
questions
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing]
[2026-04-12 11:05:41,360] | [INFO] | [127.0.0.1 POST /surveys/1/questions 400 0.63ms]
